time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz),,,,,,,,,,,
155.601,0,1,1,0,-0.52,-0.2,-0.5,-0.3,-0.5,,,-0.08,-0.04,,,-0.1,-0.1,,-0.1,-0.2
156.201,0,1,1,-0.08,0.28,-0.1,0.3,-0.1,0.3,,,-0.02,-0.08,,,0,-0.1,,0,-0.1
156.901,0,1,1,-0.02,-0.92,-0.2,-0.9,-0.4,-0.9,,,-0.04,-0.08,,,0,-0.5,,-0.2,-0.6
157.501,0,1,1,-0.04,0.68,-0.3,0.7,-0.3,0.7,,,0,-0.08,,,-0.1,-0.1,,0,-0.1
158.101,0,1,1,0,0.68,-0.1,0.7,-0.2,0.7,,,0,0,,,0,0,,-0.2,0
158.801,0,1,1,0,1,-0.1,1,-0.1,1,,,0,-0.06,,,-0.3,-0.2,,-0.1,0
159.601,0,1,1,0,1,0,1,0,1,,,-0.04,-0.12,,,-0.2,-0.2,,-0.1,-0.1
160.201,0,1,1,-0.04,-0.36,-0.2,-0.3,-0.2,-0.4,,,0,-0.02,,,-0.1,0,,-0.2,0
160.801,0,1,1,0,0.12,-0.2,0.1,-0.3,0.1,,,-0.1,-0.02,,,-0.1,-0.3,,-0.2,-0.1
161.501,0,1,1,-0.1,-0.76,-0.4,-0.7,-0.4,-0.8,,,0,-0.04,,,-0.1,-0.1,,-0.3,-0.1
162.101,0,1,1,0,0.52,0,0.5,-0.1,0.5,,,-0.04,-0.08,,,-0.2,0,,-0.1,0
162.701,0,1,1,-0.04,0.84,-0.1,0.9,-0.4,0.8,,,-0.04,0,,,-0.2,0,,-0.2,0
163.501,0,1,1,-0.04,0.2,0,0.3,-0.1,0.1,,,0,-0.02,,,-0.1,-0.4,,0,-0.4
164.201,0,1,1,0,1,0,1,-0.1,1,,,-0.047708333,0,,,-0.4,0,,-0.1,-0.1
164.801,0,,,,,,,,,,,,-0.02,,,-0.1,-0.2,,-0.4,-0.1
,,,,,,,,,,,,,-0.06,,,0,-0.2,,-0.1,-0.3
,,,,,,,,,,,,,-0.04,,,-0.1,0,,-0.1,0
,,,,,,,,,,,,,0,,,-0.3,0,,-0.2,0
,,,,,,,,,,,,,0,,,-0.6,-0.2,,-0.4,-0.1
,,,,,,,,,,,,,-0.06,,,-0.2,-0.1,,-0.2,-0.1
,,,,,,,,,,,,,-0.08,,,0,-0.3,,0,-0.2
,,,,,,,,,,,,,-0.1,,,-0.2,0,,-0.1,-0.1
,,,,,,,,,,,,,-0.06,,,-0.2,-0.2,,-0.5,-0.1
